"غالبرح","9",7335.34	
"بوعلي","9",4067.9399999999996	
"دتوزيعح","9",2594.14	
"چخزر","9",2407.1	
"پست0008پ02","9",1614.4299999999998	
"پست0008پ04","9",1609.31	
"وكبهمن","9",1363.74	
"زعف0008پ09","9",1229.0299999999995	
"غمينوح","9",1156.8300000000002	
"زعف0008پ08","9",1136.44	
"جوين","8",26787.379999999997	
"كاذرح","8",7676.650000000001	
"كهمداح","8",1071.59	
"زعف0008پ05","8",1059.99	
"زعف0008پ10","8",1059.9	
"غمهراح","8",861.48	
"سپح","8",828.24	
"ساذريح","8",572.5400000000001	
"تنوينح","8",357.99000000000007	
"رتاپح","8",227.03	
"وسيزد","7",27.0	
"صپاآبان","7",26.67	
"پا ه 6","7",25.71	
"پا ه 7","7",15.79	
"شاروم","7",15.0	
"ختور","7",14.040000000000001	
"كترام","7",10.01	
"پا ه 8","7",10.0	
"ختورح","7",9.99	
"لسرما","7",9.82	
"قيستو","12",2804.97	
"دشيميح","12",1348.45	
"اپال","12",1179.63	
"ولقمان","12",450.0	
"كشم0006پ02","12",123.10000000000001	
"جمح","12",117.98	
"رافزا","12",97.73	
"غمهراح","12",66.06	
"نمرينو","12",47.37	
"غپاك","12",41.379999999999995	
"آرمانح","11",781899.37	
"وسپهح","11",2848.21	
"لخانهح","11",2487.27	
"دكپسولح","11",2390.4100000000003	
"كزغال","11",1990.9099999999999	
"سجامح","11",753.6299999999999	
"قجامح","11",649.9	
"غويتاح","11",178.94	
"رطب0002پ02","11",107.81	
"شپارسح","11",67.91	
"كسعديح","10",3893.7300000000005	
"سپيدار","10",3890.31	
"هجرتح","10",3717.5199999999995	
"كتوكاح","10",1386.6299999999997	
"زفكاح","10",1064.96	
"دلرح","10",773.5699999999998	
"چكاوهح","10",643.77	
"رطب0002پ01","10",108.47000000000001	
"خموتور","10",80.17999999999999	
"سنير","10",68.23	
"فباهنرح","1",4697.38	
"وخارزمح","1",1203.72	
"بترانس4","1",1017.62	
"امينح","1",374.12999999999994	
"ونيكي4","1",274.58000000000004	
"چبسپا4","1",197.71	
"برن0003پ01","1",162.63000000000002	
"صپاارديب","1",39.17	
"تنوينح","1",37.24	
"خكاوه4","1",30.13	
